5 5 0.321 100
0.1 0.2 0.3 0.4 0.5 0.6 
1 1 2 3 4 5 0
1 2 3 4 5 6 1
1 -1 2 3 4 8 0
1 1 1 2 2 3 0
1 -5 8 8 7 7 1
-0.863 -0.121 -1.305 -2.168 -2.710 -4.536
-0.221 -1.084 2.226 1.684 1.142 -0.363
-1.184 -1.405 0.621 -0.884 -2.068 -5.499
-0.542 -2.368 4.152 2.968 1.784 -1.326
-1.505 -2.689 2.547 0.400 -1.426 -6.462
-0.863 -3.652 6.078 4.252 2.426 -2.289
-1.826 -3.973 4.473 1.684 -0.784 -7.425
-1.505 -3.331 5.436 2.968 0.821 -5.499
-1.184 -2.689 6.399 4.252 2.426 -3.573
-2.147 -3.010 4.794 1.684 -0.784 -8.709
-1.505 -3.973 8.325 5.536 3.068 -4.536
-2.468 -4.294 6.720 2.968 -0.142 -9.672
-2.147 -3.652 7.683 4.252 1.463 -7.746
-1.826 -3.010 8.646 5.536 3.068 -5.820
-2.789 -3.331 7.041 2.968 -0.142 -10.956
-2.468 -2.689 8.004 4.252 1.463 -9.030
-2.147 -2.047 8.967 5.536 3.068 -7.104
-2.789 -2.689 8.004 3.931 1.142 -9.672
-2.468 -2.047 8.967 5.215 2.747 -7.746
-2.789 -2.368 8.325 4.252 1.463 -9.351
-2.468 -1.726 9.288 5.536 3.068 -7.425
-3.110 -2.368 8.325 3.931 1.142 -9.993
-2.789 -1.726 9.288 5.215 2.747 -8.067
-3.110 -2.047 8.646 4.252 1.463 -9.672
-2.789 -1.405 9.609 5.536 3.068 -7.746
-3.110 -1.726 8.967 4.573 1.784 -9.351
-2.789 -1.084 9.930 5.857 3.389 -7.425
-3.431 -1.726 8.967 4.252 1.463 -9.993
-3.110 -1.084 9.930 5.536 3.068 -8.067
-3.431 -1.405 9.288 4.573 1.784 -9.672
-3.110 -0.763 10.251 5.857 3.389 -7.746
-3.752 -1.405 9.288 4.252 1.463 -10.314
-3.431 -0.763 10.251 5.536 3.068 -8.388
-3.752 -1.084 9.609 4.573 1.784 -9.993
-3.431 -0.442 10.572 5.857 3.389 -8.067
-4.073 -1.084 9.609 4.252 1.463 -10.635
-3.752 -0.442 10.572 5.536 3.068 -8.709
-4.073 -0.763 9.930 4.573 1.784 -10.314
-3.752 -0.121 10.893 5.857 3.389 -8.388
-4.394 -0.763 9.930 4.252 1.463 -10.956
-4.073 -0.121 10.893 5.536 3.068 -9.030
-4.394 -0.442 10.251 4.573 1.784 -10.635
-4.073 0.200 11.214 5.857 3.389 -8.709
-4.394 -0.121 10.572 4.894 2.105 -10.314
-4.073 0.521 11.535 6.178 3.710 -8.388
-4.715 -0.121 10.572 4.573 1.784 -10.956
-4.394 0.521 11.535 5.857 3.389 -9.030
-4.715 0.200 10.893 4.894 2.105 -10.635
-4.394 0.842 11.856 6.178 3.710 -8.709
-5.036 0.200 10.893 4.573 1.784 -11.277
-4.715 0.842 11.856 5.857 3.389 -9.351
-5.036 0.521 11.214 4.894 2.105 -10.956
-4.715 1.163 12.177 6.178 3.710 -9.030
-5.357 0.521 11.214 4.573 1.784 -11.598
-5.036 1.163 12.177 5.857 3.389 -9.672
-5.357 0.842 11.535 4.894 2.105 -11.277
-5.036 1.484 12.498 6.178 3.710 -9.351
-5.678 0.842 11.535 4.573 1.784 -11.919
-5.357 1.484 12.498 5.857 3.389 -9.993
-5.678 1.163 11.856 4.894 2.105 -11.598
-5.357 1.805 12.819 6.178 3.710 -9.672
-5.999 1.163 11.856 4.573 1.784 -12.240
-5.678 1.805 12.819 5.857 3.389 -10.314
-5.999 1.484 12.177 4.894 2.105 -11.919
-5.678 2.126 13.140 6.178 3.710 -9.993
-5.999 1.805 12.498 5.215 2.426 -11.598
-5.678 2.447 13.461 6.499 4.031 -9.672
-6.320 1.805 12.498 4.894 2.105 -12.240
-5.999 2.447 13.461 6.178 3.710 -10.314
-6.320 2.126 12.819 5.215 2.426 -11.919
-5.999 2.768 13.782 6.499 4.031 -9.993
-6.641 2.126 12.819 4.894 2.105 -12.561
-6.320 2.768 13.782 6.178 3.710 -10.635
-6.641 2.447 13.140 5.215 2.426 -12.240
-6.320 3.089 14.103 6.499 4.031 -10.314
-6.962 2.447 13.140 4.894 2.105 -12.882
-6.641 3.089 14.103 6.178 3.710 -10.956
-6.962 2.768 13.461 5.215 2.426 -12.561
-6.641 3.410 14.424 6.499 4.031 -10.635
-7.283 2.768 13.461 4.894 2.105 -13.203
-6.962 3.410 14.424 6.178 3.710 -11.277
-7.283 3.089 13.782 5.215 2.426 -12.882
-6.962 3.731 14.745 6.499 4.031 -10.956
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
-7.283 3.410 14.103 5.536 2.747 -12.561
